employee_id,exit_date,exit_reason_primary,exit_reason_secondary,would_recommend_company,overall_satisfaction,manager_satisfaction,compensation_satisfaction,growth_opportunities,work_life_balance_rating,job_role_clarity,training_adequacy,company_culture_rating,likelihood_to_return,feedback_comments
EMP002,2024-03-15,Better Opportunity,Career Growth,3,2,3,2,2,2,4,3,3,2,"Limited advancement opportunities in current role. Salary not competitive with market rates."
EMP004,2024-01-22,Career Growth,Limited Advancement,4,3,4,3,2,4,4,2,4,3,"Great company culture but need clearer career progression paths. Training could be improved."
EMP006,2024-05-08,Work-Life Balance,Long Hours,3,3,2,4,3,1,3,3,3,2,"Excellent compensation but workload unsustainable. Manager expectations too high for work-life balance."
EMP008,2024-02-14,Low Compensation,Cost of Living,2,2,3,1,2,3,3,2,2,1,"Salary far below market rate. Cost of living adjustments needed. Good learning environment though."
EMP010,2024-04-20,Better Opportunity,Higher Salary,4,4,4,3,3,3,4,4,4,4,"Really enjoyed working here. Team was great. Opportunity came up with significant salary increase."
EMP013,2024-06-10,Work Stress,Unrealistic Deadlines,3,3,2,3,3,2,3,3,3,2,"High stress environment with tight deadlines. Need better project planning and resource allocation."
EMP014,2024-07-18,Career Growth,Skill Development,4,4,4,3,2,4,4,3,4,3,"Love the company but need role with more creative challenges and growth opportunities."
EMP018,2024-08-05,Long Commute,Transportation Issues,3,3,3,3,3,2,4,3,3,2,"Daily commute became unsustainable with gas prices. Would consider remote work options."
EMP020,2024-09-12,Limited Growth,No Promotion Path,3,3,3,3,1,3,3,3,3,2,"Been in same role too long with no advancement opportunities. Need clearer promotion criteria."
EMP022,2024-04-28,Work-Life Balance,Family Priorities,4,3,3,3,3,2,4,3,4,3,"Need more flexibility for family commitments. Otherwise good experience with supportive team."
EMP024,2024-11-03,Better Opportunity,Industry Change,4,4,4,3,3,4,4,3,4,4,"Great experience overall. Found opportunity in preferred industry vertical with better growth prospects."
EMP027,2024-10-15,Career Change,Different Field,3,3,3,3,3,3,3,3,3,2,"Decided to pursue different career path. Company provided good foundation and experience."
EMP030,2024-12-01,Low Starting Salary,Financial Pressure,3,3,3,2,3,3,4,3,3,2,"Entry level salary too low for living expenses. Need competitive starting salaries for new graduates."
EMP032,2024-03-22,Family Reasons,Relocation,4,4,4,4,4,3,4,4,4,4,"Family relocation required. Very positive experience - would definitely work here again if opportunity arises."
EMP034,2024-05-30,Work Stress,Burnout,2,2,2,3,2,1,3,2,2,1,"Extreme work stress leading to burnout. Need better workload management and mental health support."
EMP038,2024-08-20,Creative Differences,Project Direction,3,3,2,3,2,3,2,3,3,2,"Disagreements on creative direction. Need more input from design team in project planning phase."
EMP040,2024-07-08,Personal Reasons,Health Issues,4,4,4,4,3,3,4,4,4,3,"Health issues required schedule change. Company was understanding but couldn't accommodate long-term needs."
EMP043,2024-09-25,Better Opportunity,Remote Work,4,4,3,3,3,3,4,3,4,3,"Found fully remote position with better work-life balance. Enjoyed the team and projects here."
EMP045,2024-06-18,Relocation,Spouse Job Transfer,5,4,4,4,4,4,4,4,5,5,"Spouse job transfer required move. Excellent company - highly recommend. Would love to return someday."